±¹°¡,´ë·ú
United-States,NA
Cambodia,AS
England,EU
Puerto-Rico,SA
Canada,NA
Germany,EU
Outlying-US(Guam-USVI-etc),NA
India,AS
Japan,AS
Greece,EU
South,AS
China,AS
Cuba,NA
Iran,AS
Honduras,SA
Philippines,AS
Italy,EU
Poland,EU
Jamaica,SA
Vietnam,EU
Mexico,NA
Portugal,EU
Ireland,EU
France,EU
Dominican-Republic,NA
Laos,AS
Ecuador,SA
Taiwan,AS
Haiti,NA
Columbia,SA
Hungary,EU
Guatemala,SA
Nicaragua,SA
Scotland,EU
Thailand,AS
Yugoslavia,EU
El-Salvador,SA
Trinadad&Tobago,SA
Peru,SA
Hong,AS
Holand-Netherlands,EU


